protocol_stable_id,risk_class,editorial_status,safety_review_status,required_reviewer_role,pre_review_scoring_ceiling,scoring_policy,score_active,sensitive_data_limit,foreseeable_misuse,exclusions,pause_conditions,stop_conditions,professional_referral_conditions,release_gate
PRACTICE-COMP-0110-MEANING-AFTER-DISILLUSIONMENT-01,RISK-LOW,draft,pending,Trained content reviewer; specialist review when the actual topic introduces a moderate or high-risk context.,active_if_separately_approved,SP-STRUCTURED-EVIDENCE-ELIGIBLE,true,Collect only the minimum private context needed to run the practice; do not request identifying details about other people.,"Using the Meaning after disillusionment protocol to rank worth, coerce participation, demand disclosure, override rest or care, certify competence, or justify decisions beyond the recorded context. | Treating a completed Meaning after disillusionment action, a polished artifact, agreement, confidence, speed, independence, or output as mastery or universal transfer.","Follow the material, equipment, consent and scope limits in the setup and each action. Use a fictional disappointed achievement, respond by drawing, or ask a trusted person to help identify practical support. Distress is not material that must be mined for growth.","Pause Meaning after disillusionment when capacity, consent, authority, privacy, access, care duties, uncertainty, distress, fatigue, pain, resource scarcity, or changed circumstances make the next action unwise.","Stop the Meaning after disillusionment practice for harm, coercion, retaliation risk, emergency conditions, unsafe exposure, worsening symptoms, protected information, legal or policy conflict, or pressure to exceed the stated boundary.","Use qualified, local, or emergency support whenever the situation exceeds a voluntary low-stakes developmental practice.","Content, accessibility, privacy, and safety review complete. | Evidence and scoring contracts independently approved before score activation."
PRACTICE-COMP-0111-PLURAL-ENDS-AND-REASONABLE-DISAGREEMENT-01,RISK-LOW,draft,pending,Trained content reviewer; specialist review when the actual topic introduces a moderate or high-risk context.,active_if_separately_approved,SP-STRUCTURED-EVIDENCE-ELIGIBLE,true,Collect only the minimum private context needed to run the practice; do not request identifying details about other people.,"Using the Plural ends and reasonable disagreement protocol to rank worth, coerce participation, demand disclosure, override rest or care, certify competence, or justify decisions beyond the recorded context. | Treating a completed Plural ends and reasonable disagreement action, a polished artifact, agreement, confidence, speed, independence, or output as mastery or universal transfer.","Follow the material, equipment, consent and scope limits in the setup and each action. Use written exchanges, translated material, or the stability/exploration case. No debate partner, travel, disclosure of beliefs, or forced reconciliation is required.","Pause Plural ends and reasonable disagreement when capacity, consent, authority, privacy, access, care duties, uncertainty, distress, fatigue, pain, resource scarcity, or changed circumstances make the next action unwise.","Stop the Plural ends and reasonable disagreement practice for harm, coercion, retaliation risk, emergency conditions, unsafe exposure, worsening symptoms, protected information, legal or policy conflict, or pressure to exceed the stated boundary.","Use qualified, local, or emergency support whenever the situation exceeds a voluntary low-stakes developmental practice.","Content, accessibility, privacy, and safety review complete. | Evidence and scoring contracts independently approved before score activation."
PRACTICE-COMP-0201-MORAL-FRAMEWORKS-01,RISK-MODERATE,draft,pending,Relevant specialist or domain-qualified human reviewer before expansion release or score activation.,shadow_only,SP-STRUCTURED-EVIDENCE-ELIGIBLE,true,"Store no diagnoses, allegations, third-party secrets, or unnecessary sensitive narrative; prefer category-level signals.","Using the Moral frameworks protocol to rank worth, coerce participation, demand disclosure, override rest or care, certify competence, or justify decisions beyond the recorded context. | Treating a completed Moral frameworks action, a polished artifact, agreement, confidence, speed, independence, or output as mastery or universal transfer.","Follow the material, equipment, consent and scope limits in the setup and each action. Compare four spoken explanations or use cards. The fictional case permits participation without revealing private beliefs or confronting a real authority.","Pause Moral frameworks when capacity, consent, authority, privacy, access, care duties, uncertainty, distress, fatigue, pain, resource scarcity, or changed circumstances make the next action unwise.","Stop the Moral frameworks practice for harm, coercion, retaliation risk, emergency conditions, unsafe exposure, worsening symptoms, protected information, legal or policy conflict, or pressure to exceed the stated boundary.","Use qualified, local, or emergency support whenever the situation exceeds a voluntary low-stakes developmental practice.","Specialist safety review complete. | Misuse, exclusion, stop, and escalation paths tested in content and UI. | Scoring remains shadow-only until a separate activation decision."
PRACTICE-COMP-0202-MORAL-PERCEPTION-01,RISK-HIGH,draft,pending_specialist_expansion_review,Licensed or otherwise appropriately qualified specialist for the jurisdiction and topic.,qualified_only,SP-STRUCTURED-EVIDENCE-ELIGIBLE,true,"Do not collect or retain sensitive case detail unless separately justified, consented, secured, and reviewed.","Using the Moral perception protocol to rank worth, coerce participation, demand disclosure, override rest or care, certify competence, or justify decisions beyond the recorded context. | Treating a completed Moral perception action, a polished artifact, agreement, confidence, speed, independence, or output as mastery or universal transfer.","Follow the material, equipment, consent and scope limits in the setup and each action. Use an audio announcement or a purely fictional school, neighborhood or club event. Publishing is unnecessary; this exercise tests pre-publication judgment.","Pause Moral perception when capacity, consent, authority, privacy, access, care duties, uncertainty, distress, fatigue, pain, resource scarcity, or changed circumstances make the next action unwise.","Stop the Moral perception practice for harm, coercion, retaliation risk, emergency conditions, unsafe exposure, worsening symptoms, protected information, legal or policy conflict, or pressure to exceed the stated boundary.","Use qualified, local, or emergency support whenever the situation exceeds a voluntary low-stakes developmental practice.","Qualified specialist approval recorded. | Jurisdictional, emergency, and vulnerable-person boundaries reviewed. | No unverified hotline, diagnosis, treatment, confrontation, or coercive exposure. | Evidence is qualified-only or non-scored unless separately approved."
PRACTICE-COMP-0203-BEHAVIORAL-DEFINITIONS-OF-VIRTUE-01,RISK-MODERATE,draft,pending,Relevant specialist or domain-qualified human reviewer before expansion release or score activation.,shadow_only,SP-STRUCTURED-EVIDENCE-ELIGIBLE,true,"Store no diagnoses, allegations, third-party secrets, or unnecessary sensitive narrative; prefer category-level signals.","Using the Behavioral definitions of virtue protocol to rank worth, coerce participation, demand disclosure, override rest or care, certify competence, or justify decisions beyond the recorded context. | Treating a completed Behavioral definitions of virtue action, a polished artifact, agreement, confidence, speed, independence, or output as mastery or universal transfer.","Follow the material, equipment, consent and scope limits in the setup and each action. Use text, a private recording or a supporter who helps communicate. Speaking loudly, acting alone and confronting authority are not requirements.","Pause Behavioral definitions of virtue when capacity, consent, authority, privacy, access, care duties, uncertainty, distress, fatigue, pain, resource scarcity, or changed circumstances make the next action unwise.","Stop the Behavioral definitions of virtue practice for harm, coercion, retaliation risk, emergency conditions, unsafe exposure, worsening symptoms, protected information, legal or policy conflict, or pressure to exceed the stated boundary.","Use qualified, local, or emergency support whenever the situation exceeds a voluntary low-stakes developmental practice.","Specialist safety review complete. | Misuse, exclusion, stop, and escalation paths tested in content and UI. | Scoring remains shadow-only until a separate activation decision."
PRACTICE-COMP-0204-TRUTHFULNESS-AND-CANDOR-01,RISK-MODERATE,draft,pending,Relevant specialist or domain-qualified human reviewer before expansion release or score activation.,shadow_only,SP-STRUCTURED-EVIDENCE-ELIGIBLE,true,"Store no diagnoses, allegations, third-party secrets, or unnecessary sensitive narrative; prefer category-level signals.","Using the Truthfulness and candor protocol to rank worth, coerce participation, demand disclosure, override rest or care, certify competence, or justify decisions beyond the recorded context. | Treating a completed Truthfulness and candor action, a polished artifact, agreement, confidence, speed, independence, or output as mastery or universal transfer.","Follow the material, equipment, consent and scope limits in the setup and each action. Use a written message, extra processing time or communication support. A fictional exchange can develop clarity when direct contact would be unsafe.","Pause Truthfulness and candor when capacity, consent, authority, privacy, access, care duties, uncertainty, distress, fatigue, pain, resource scarcity, or changed circumstances make the next action unwise.","Stop the Truthfulness and candor practice for harm, coercion, retaliation risk, emergency conditions, unsafe exposure, worsening symptoms, protected information, legal or policy conflict, or pressure to exceed the stated boundary.","Use qualified, local, or emergency support whenever the situation exceeds a voluntary low-stakes developmental practice.","Specialist safety review complete. | Misuse, exclusion, stop, and escalation paths tested in content and UI. | Scoring remains shadow-only until a separate activation decision."
PRACTICE-COMP-0205-PROMISES-RELIABILITY-AND-ONE-S-WORD-01,RISK-MODERATE,draft,pending,Relevant specialist or domain-qualified human reviewer before expansion release or score activation.,shadow_only,SP-STRUCTURED-EVIDENCE-ELIGIBLE,true,"Store no diagnoses, allegations, third-party secrets, or unnecessary sensitive narrative; prefer category-level signals.","Using the Promises, reliability, and one's word protocol to rank worth, coerce participation, demand disclosure, override rest or care, certify competence, or justify decisions beyond the recorded context. | Treating a completed Promises, reliability, and one's word action, a polished artifact, agreement, confidence, speed, independence, or output as mastery or universal transfer.","Follow the material, equipment, consent and scope limits in the setup and each action. Use an accessible reminder or agreed helper. A fictional commitment can rehearse the tracking process, but only real follow-through demonstrates keeping a promise.","Pause Promises, reliability, and one's word when capacity, consent, authority, privacy, access, care duties, uncertainty, distress, fatigue, pain, resource scarcity, or changed circumstances make the next action unwise.","Stop the Promises, reliability, and one's word practice for harm, coercion, retaliation risk, emergency conditions, unsafe exposure, worsening symptoms, protected information, legal or policy conflict, or pressure to exceed the stated boundary.","Use qualified, local, or emergency support whenever the situation exceeds a voluntary low-stakes developmental practice.","Specialist safety review complete. | Misuse, exclusion, stop, and escalation paths tested in content and UI. | Scoring remains shadow-only until a separate activation decision."
PRACTICE-COMP-0206-JUSTICE-FAIRNESS-AND-EQUAL-DIGNITY-01,RISK-MODERATE,draft,pending,Relevant specialist or domain-qualified human reviewer before expansion release or score activation.,shadow_only,SP-STRUCTURED-EVIDENCE-ELIGIBLE,true,"Store no diagnoses, allegations, third-party secrets, or unnecessary sensitive narrative; prefer category-level signals.","Using the Justice, fairness, and equal dignity protocol to rank worth, coerce participation, demand disclosure, override rest or care, certify competence, or justify decisions beyond the recorded context. | Treating a completed Justice, fairness, and equal dignity action, a polished artifact, agreement, confidence, speed, independence, or output as mastery or universal transfer.","Follow the material, equipment, consent and scope limits in the setup and each action. Use tokens, spoken choices or a simple table. The case can remain fictional; do not collect sensitive characteristics to prove fairness.","Pause Justice, fairness, and equal dignity when capacity, consent, authority, privacy, access, care duties, uncertainty, distress, fatigue, pain, resource scarcity, or changed circumstances make the next action unwise.","Stop the Justice, fairness, and equal dignity practice for harm, coercion, retaliation risk, emergency conditions, unsafe exposure, worsening symptoms, protected information, legal or policy conflict, or pressure to exceed the stated boundary.","Use qualified, local, or emergency support whenever the situation exceeds a voluntary low-stakes developmental practice.","Specialist safety review complete. | Misuse, exclusion, stop, and escalation paths tested in content and UI. | Scoring remains shadow-only until a separate activation decision."
PRACTICE-COMP-0207-MORAL-COURAGE-01,RISK-MODERATE,draft,pending,Relevant specialist or domain-qualified human reviewer before expansion release or score activation.,shadow_only,SP-STRUCTURED-EVIDENCE-ELIGIBLE,true,"Store no diagnoses, allegations, third-party secrets, or unnecessary sensitive narrative; prefer category-level signals.","Using the Moral courage protocol to rank worth, coerce participation, demand disclosure, override rest or care, certify competence, or justify decisions beyond the recorded context. | Treating a completed Moral courage action, a polished artifact, agreement, confidence, speed, independence, or output as mastery or universal transfer.","Follow the material, equipment, consent and scope limits in the setup and each action. Use writing, an agreed advocate or a fictional rehearsal. Declining unsafe confrontation is compatible with moral seriousness.","Pause Moral courage when capacity, consent, authority, privacy, access, care duties, uncertainty, distress, fatigue, pain, resource scarcity, or changed circumstances make the next action unwise.","Stop the Moral courage practice for harm, coercion, retaliation risk, emergency conditions, unsafe exposure, worsening symptoms, protected information, legal or policy conflict, or pressure to exceed the stated boundary.","Use qualified, local, or emergency support whenever the situation exceeds a voluntary low-stakes developmental practice.","Specialist safety review complete. | Misuse, exclusion, stop, and escalation paths tested in content and UI. | Scoring remains shadow-only until a separate activation decision."
PRACTICE-COMP-0208-TEMPERANCE-AND-MODERATION-01,RISK-MODERATE,draft,pending,Relevant specialist or domain-qualified human reviewer before expansion release or score activation.,shadow_only,SP-STRUCTURED-EVIDENCE-ELIGIBLE,true,"Store no diagnoses, allegations, third-party secrets, or unnecessary sensitive narrative; prefer category-level signals.","Using the Temperance and moderation protocol to rank worth, coerce participation, demand disclosure, override rest or care, certify competence, or justify decisions beyond the recorded context. | Treating a completed Temperance and moderation action, a polished artifact, agreement, confidence, speed, independence, or output as mastery or universal transfer.","Follow the material, equipment, consent and scope limits in the setup and each action. Use a natural activity boundary instead of a timer when timing creates stress. Restful or supported leisure is as eligible as an active hobby.","Pause Temperance and moderation when capacity, consent, authority, privacy, access, care duties, uncertainty, distress, fatigue, pain, resource scarcity, or changed circumstances make the next action unwise.","Stop the Temperance and moderation practice for harm, coercion, retaliation risk, emergency conditions, unsafe exposure, worsening symptoms, protected information, legal or policy conflict, or pressure to exceed the stated boundary.","Use qualified, local, or emergency support whenever the situation exceeds a voluntary low-stakes developmental practice.","Specialist safety review complete. | Misuse, exclusion, stop, and escalation paths tested in content and UI. | Scoring remains shadow-only until a separate activation decision."
PRACTICE-COMP-0209-COMPASSION-MERCY-AND-FORGIVENESS-01,RISK-MODERATE,draft,pending,Relevant specialist or domain-qualified human reviewer before expansion release or score activation.,shadow_only,SP-STRUCTURED-EVIDENCE-ELIGIBLE,true,"Store no diagnoses, allegations, third-party secrets, or unnecessary sensitive narrative; prefer category-level signals.","Using the Compassion, mercy, and forgiveness protocol to rank worth, coerce participation, demand disclosure, override rest or care, certify competence, or justify decisions beyond the recorded context. | Treating a completed Compassion, mercy, and forgiveness action, a polished artifact, agreement, confidence, speed, independence, or output as mastery or universal transfer.","Follow the material, equipment, consent and scope limits in the setup and each action. Use the fictional book case or a symbolic drawing. No contact, disclosure, absolution or restored relationship is required.","Pause Compassion, mercy, and forgiveness when capacity, consent, authority, privacy, access, care duties, uncertainty, distress, fatigue, pain, resource scarcity, or changed circumstances make the next action unwise.","Stop the Compassion, mercy, and forgiveness practice for harm, coercion, retaliation risk, emergency conditions, unsafe exposure, worsening symptoms, protected information, legal or policy conflict, or pressure to exceed the stated boundary.","Use qualified, local, or emergency support whenever the situation exceeds a voluntary low-stakes developmental practice.","Specialist safety review complete. | Misuse, exclusion, stop, and escalation paths tested in content and UI. | Scoring remains shadow-only until a separate activation decision."
PRACTICE-COMP-0210-LOYALTY-AND-PRINCIPLED-DISSENT-01,RISK-MODERATE,draft,pending,Relevant specialist or domain-qualified human reviewer before expansion release or score activation.,shadow_only,SP-STRUCTURED-EVIDENCE-ELIGIBLE,true,"Store no diagnoses, allegations, third-party secrets, or unnecessary sensitive narrative; prefer category-level signals.","Using the Loyalty and principled dissent protocol to rank worth, coerce participation, demand disclosure, override rest or care, certify competence, or justify decisions beyond the recorded context. | Treating a completed Loyalty and principled dissent action, a polished artifact, agreement, confidence, speed, independence, or output as mastery or universal transfer.","Follow the material, equipment, consent and scope limits in the setup and each action. Use a written hypothetical response. Real dissent should account for safety and power; the exercise does not require exposing wrongdoing publicly.","Pause Loyalty and principled dissent when capacity, consent, authority, privacy, access, care duties, uncertainty, distress, fatigue, pain, resource scarcity, or changed circumstances make the next action unwise.","Stop the Loyalty and principled dissent practice for harm, coercion, retaliation risk, emergency conditions, unsafe exposure, worsening symptoms, protected information, legal or policy conflict, or pressure to exceed the stated boundary.","Use qualified, local, or emergency support whenever the situation exceeds a voluntary low-stakes developmental practice.","Specialist safety review complete. | Misuse, exclusion, stop, and escalation paths tested in content and UI. | Scoring remains shadow-only until a separate activation decision."
PRACTICE-COMP-0211-RESPONSIBILITY-APOLOGY-AND-RESTITUTION-01,RISK-MODERATE,draft,pending,Relevant specialist or domain-qualified human reviewer before expansion release or score activation.,shadow_only,SP-STRUCTURED-EVIDENCE-ELIGIBLE,true,"Store no diagnoses, allegations, third-party secrets, or unnecessary sensitive narrative; prefer category-level signals.","Using the Responsibility, apology, and restitution protocol to rank worth, coerce participation, demand disclosure, override rest or care, certify competence, or justify decisions beyond the recorded context. | Treating a completed Responsibility, apology, and restitution action, a polished artifact, agreement, confidence, speed, independence, or output as mastery or universal transfer.","Follow the material, equipment, consent and scope limits in the setup and each action. Use written communication, an agreed intermediary or a clearly labeled rehearsal. Respect a request for no further contact.","Pause Responsibility, apology, and restitution when capacity, consent, authority, privacy, access, care duties, uncertainty, distress, fatigue, pain, resource scarcity, or changed circumstances make the next action unwise.","Stop the Responsibility, apology, and restitution practice for harm, coercion, retaliation risk, emergency conditions, unsafe exposure, worsening symptoms, protected information, legal or policy conflict, or pressure to exceed the stated boundary.","Use qualified, local, or emergency support whenever the situation exceeds a voluntary low-stakes developmental practice.","Specialist safety review complete. | Misuse, exclusion, stop, and escalation paths tested in content and UI. | Scoring remains shadow-only until a separate activation decision."
